故宫,乾隆
故宫,"[('故宫', 222), ('北京', 63), ('北京故宫', 56), ('北京故宫博物院', 51), ('文物', 47), ('收藏', 29), ('藏', 25), ('中国', 19), ('明', 17), ('书画', 16), ('元', 13), ('设', 13), ('宋', 11), ('清代', 9), ('陈列', 9), ('午门', 9), ('文化', 8), ('开放', 8), ('成立', 8), ('博物馆', 8), ('玉器', 8), ('绘画', 7), ('陶瓷', 7), ('青铜', 7), ('青铜器', 7), ('建立', 6), ('紫禁城', 6), ('保护', 6), ('工作', 6), ('进行', 6), ('图书', 6), ('南京', 6), ('唐', 6), ('展览', 6), ('元代', 6), ('珐琅', 6), ('钟表', 6), ('展示', 6), ('神武门', 6), ('迁', 5), ('图书馆', 5), ('宣布', 5), ('档案', 5), ('台北', 5), ('包括', 5), ('玻璃', 5), ('皇帝', 5), ('位于', 4), ('研究', 4), ('建', 4), ('接管', 4), ('出', 4), ('保管', 4), ('景山', 4), ('北平', 4), ('象牙', 4), ('接受', 4), ('书法', 4), ('存世', 4), ('拓本', 4), ('永乐', 4), ('东六宫', 4), ('金银器', 4), ('康熙', 4), ('家具', 4), ('参观', 4), ('闭馆', 3), ('参与', 3), ('组织', 3), ('溥仪', 3), ('办理', 3), ('整理', 3), ('举办', 3), ('管理', 3), ('中华人民共和国', 3), ('修复', 3), ('筒子河', 3), ('分类', 3), ('唐代', 3), ('古书画', 3), ('占', 3), ('故宫书画馆', 3), ('属', 3), ('存', 3), ('现存', 3), ('石鼓', 3), ('珐琅器', 3), ('乾隆', 3), ('寿字纹', 3), ('内廷', 3), ('临展', 3), ('腾讯', 3), ('数字化', 3), ('东华门', 3), ('全国重点文物保护单位', 2), ('文物保护单位', 2), ('发布', 2), ('张古', 2), ('主题音乐', 2), ('音乐', 2), ('拉开', 2), ('推出', 2), ('创新', 2), ('讲述', 2), ('工匠', 2), ('蒯祥', 2), ('营建', 2), ('中国中医科学院', 2), ('签署', 2), ('战略合作协议', 2), ('合作', 2), ('开展', 2), ('揭示', 2), ('挖掘', 2), ('值', 2), ('故宫珍宝', 2), ('加上', 2), ('居', 2), ('决定', 2), ('承德', 2), ('摄政', 2), ('宫禁', 2), ('董事会', 2), ('清点', 2), ('计', 2), ('编辑', 2), ('改', 2), ('接收', 2), ('日本', 2), ('制造', 2), ('运', 2), ('回', 2), ('隶属', 2), ('修缮', 2), ('规划', 2), ('实施', 2), ('养心殿', 2), ('建筑管理', 2), ('入', 2), ('象牙席', 2), ('实现', 2), ('售票', 2), ('进入', 2), ('文华殿', 2), ('武英殿', 2), ('带', 2), ('捐赠', 2), ('碑帖', 2), ('孤品', 2), ('元朝', 2), ('艺术品', 2), ('代表', 2), ('楷书', 2), ('华阴', 2), ('拓', 2), ('蔽亏', 2), ('下令', 2), ('合集', 2), ('内府', 2), ('战国', 2), ('瓷器', 2), ('世界博物馆', 2), ('采集', 2), ('汝窑', 2), ('青釉', 2), ('白釉', 2), ('压手杯', 2), ('藏历', 2), ('先秦', 2), ('铭文', 2), ('中国青铜器', 2), ('承乾宫', 2), ('永和宫', 2), ('钟粹宫', 2), ('漆器', 2), ('发展', 2), ('掐丝珐琅', 2), ('文具', 2), ('珍藏', 2), ('匏器', 2), ('钟表馆', 2), ('粉彩', 2), ('奓斗', 2), ('道教', 2), ('藏传佛教', 2), ('佛教', 2), ('保存', 2), ('善本', 2), ('修', 2), ('分藏', 2), ('分', 2), ('编', 2), ('捐献', 2), ('延禧宫', 2), ('活动', 2), ('用于', 2), ('会', 2), ('实行', 2), ('下车', 2), ('步行', 2), ('端门', 2), ('到达', 2), ('夜班', 2), ('做', 2), ('停车场', 2), ('网红', 2), ('瑰宝', 2), ('巴黎圣母院', 2), ('迁移', 2), ('龙脉', 2), ('上海', 2), ('第一批全国重点文物保护单位', 1), ('国家5A级旅游景区', 1), ('旅游', 1), ('建设', 1), ('渡尽', 1), ('那些年', 1), ('需要', 1), ('遭遇', 1), ('轰炸', 1), ('皇宫', 1), ('星象学', 1), ('说', 1), ('紫微垣', 1), ('北极星', 1), ('天帝', 1), ('对应', 1), ('称', 1), ('行宫', 1), ('承德避暑山庄', 1), ('盛京', 1), ('沈阳', 1), ('移', 1), ('外朝', 1), ('冯玉祥', 1), ('发动', 1), ('北京政变', 1), ('内阁', 1), ('修改', 1), ('优待', 1), ('逐出', 1), ('负责', 1), ('清理', 1), ('处理', 1), ('制订', 1), ('协议', 1), ('卢永祥', 1), ('蔡元培', 1), ('熊希龄', 1), ('张学良', 1), ('张璧', 1), ('鹿钟麟', 1), ('许世英', 1), ('梁士诒', 1), ('薛笃弼', 1), ('黄郛', 1), ('范源濂', 1), ('胡若愚', 1), ('李仲三', 1), ('汪大燮', 1), ('王正廷', 1), ('于右任', 1), ('李煜', 1), ('李煜瀛', 1), ('组成', 1), ('查收', 1), ('刊印', 1), ('下设', 1), ('继续', 1), ('开辟', 1), ('出版', 1), ('宣传', 1), ('筹备', 1), ('乾清门', 1), ('举行', 1), ('通电', 1), ('中央政府', 1), ('要求', 1), ('危在旦夕', 1), ('维持会', 1), ('危局', 1), ('张作霖', 1), ('控制', 1), ('南京国民政府', 1), ('颁布', 1), ('规定', 1), ('直隶', 1), ('掌理', 1), ('所属', 1), ('传布', 1), ('系', 1), ('指', 1), ('太庙', 1), ('皇史宬', 1), ('易培基', 1), ('兼', 1), ('张继', 1), ('定', 1), ('遭', 1), ('火毁', 1), ('毁灭', 1), ('帝国主义', 1), ('掠夺', 1), ('采取', 1), ('避敌', 1), ('择', 1), ('装箱', 1), ('占领', 1), ('掠', 1), ('走', 1), ('铜炮', 1), ('铜灯', 1), ('亭计', 1), ('溶', 1), ('毁', 1), ('抗日战争', 1), ('胜利', 1), ('收复', 1), ('马衡', 1), ('继任', 1), ('集中', 1), ('合并', 1), ('北平解放', 1), ('解放', 1), ('中国人民解放军', 1), ('军事管制委员会', 1), ('管制', 1), ('中央人民政府文化部', 1), ('余下', 1), ('封存', 1), ('委托', 1), ('南京博物院', 1), ('代', 1), ('精神面貌', 1), ('投入', 1), ('制定', 1), ('着重', 1), ('维修', 1), ('残破', 1), ('渗漏', 1), ('濒临', 1), ('倒塌', 1), ('得到', 1), ('油饰', 1), ('显', 1), ('金碧辉煌', 1), ('改革开放', 1), ('改革', 1), ('支持', 1), ('整治', 1), ('环绕', 1), ('凸现', 1), ('风貌', 1), ('启动', 1), ('调整', 1), ('中华人民共和国国务院', 1), ('公布', 1), ('设有', 1), ('服务', 1), ('古代建筑', 1), ('编号', 1), ('鉴定', 1), ('利用', 1), ('核对', 1), ('登记', 1), ('造册', 1), ('鉴别', 1), ('建档', 1), ('纠正', 1), ('计件', 1), ('确', 1), ('增补', 1), ('遗漏', 1), ('发现', 1), ('草帘', 1), ('裹', 1), ('漱芳斋', 1), ('漱芳', 1), ('存放', 1), ('传', 1), ('卢棱伽', 1), ('谢客', 1), ('恢复', 1), ('中断', 1), ('休息', 1), ('鉴藏', 1), ('故宫研究院', 1), ('形成', 1), ('布局', 1), ('单霁翔', 1), ('退休', 1), ('王旭东', 1), ('接任', 1), ('北京城', 1), ('占地', 1), ('环', 1), ('护城河', 1), ('太和殿', 1), ('中和殿', 1), ('保和殿', 1), ('乾清宫', 1), ('交泰殿', 1), ('坤宁宫', 1), ('金水桥', 1), ('藏文', 1), ('收回', 1), ('考古', 1), ('发掘', 1), ('丰富', 1), ('达到', 1), ('一般文物', 1), ('壁画', 1), ('版画', 1), ('尺牍', 1), ('中国绘画史', 1), ('元代绘画', 1), ('弥补', 1), ('扬州八怪', 1), ('扬州', 1), ('改派', 1), ('海派', 1), ('金陵八家', 1), ('四僧', 1), ('黄山派', 1), ('清代宫廷绘画', 1), ('画', 1), ('冷门', 1), ('书法3', 1), ('入选', 1), ('国家文物局', 1), ('禁止出国（境）展览文物', 1), ('禁止', 1), ('出国', 1), ('中国书法史', 1), ('王羲之', 1), ('兰亭序', 1), ('赵孟頫', 1), ('独占', 1), ('鲜于枢', 1), ('邓文原', 1), ('充实', 1), ('碑拓', 1), ('法帖', 1), ('书家', 1), ('碑刻', 1), ('石拓', 1), ('考证', 1), ('题跋', 1), ('东汉', 1), ('张迁碑', 1), ('润色', 1), ('九成宫醴泉铭', 1), ('碑文', 1), ('欧阳询', 1), ('书写', 1), ('誉为', 1), ('天下第一', 1), ('淳化阁帖', 1), ('宋太宗', 1), ('弥足珍贵', 1), ('大观帖', 1), ('宋徽宗', 1), ('聊城', 1), ('晨星', 1), ('刻', 1), ('秦石', 1), ('石鼓文', 1), ('知', 1), ('石刻文字', 1), ('拥有', 1), ('品约', 1), ('宋代', 1), ('宋汝窑天青釉弦纹樽', 1), ('釉', 1), ('汝窑天青釉碗', 1), ('宋定窑白釉孩儿枕', 1), ('枕', 1), ('明永乐青花压手杯', 1), ('压', 1), ('知带', 1), ('钱币', 1), ('铜镜', 1), ('传世', 1), ('出土', 1), ('涵盖', 1), ('工艺品', 1), ('近', 1), ('胜', 1), ('剔彩', 1), ('剔彩百子睟盘', 1), ('盘雕', 1), ('雕', 1), ('嬉戏', 1), ('编织', 1), ('成', 1), ('纳凉', 1), ('失传', 1), ('制作', 1), ('含', 1), ('宜兴', 1), ('原状陈列', 1), ('贯穿', 1), ('独具', 1), ('元掐丝珐琅缠枝莲纹兽耳三环尊', 1), ('明代', 1), ('景阳宫', 1), ('达', 1), ('清', 1), ('官造', 1), ('清康熙匏制蒜头瓶', 1), ('宛若天成', 1), ('宛若', 1), ('衔接', 1), ('天衣无缝', 1), ('阴阳', 1), ('英国', 1), ('法国', 1), ('瑞士', 1), ('美国', 1), ('产', 1), ('体现', 1), ('制造业', 1), ('奉先殿', 1), ('奉', 1), ('明清家具', 1), ('中国古典家具', 1), ('盖碗', 1), ('盖', 1), ('五福捧寿', 1), ('捧', 1), ('蝠', 1), ('金彩', 1), ('渣斗', 1), ('斗', 1), ('皇权', 1), ('典制', 1), ('生活', 1), ('反映', 1), ('交流', 1), ('天文地理', 1), ('鉴赏', 1), ('印章', 1), ('萨满教', 1), ('为主', 1), ('宗教', 1), ('祭器', 1), ('唐卡', 1), ('明清档案', 1), ('拨交', 1), ('中国第一历史档案馆', 1), ('历史档案', 1), ('天禄琳琅', 1), ('拨', 1), ('交', 1), ('编纂', 1), ('产生', 1), ('稿本', 1), ('呈请', 1), ('御览', 1), ('待刻', 1), ('发刻', 1), ('阅览', 1), ('携带', 1), ('抄', 1), ('宫古', 1), ('自明', 1), ('晚清', 1), ('生产', 1), ('金砖', 1), ('复制品', 1), ('发生', 1), ('展出', 1), ('包含', 1), ('类书', 1), ('每逢', 1), ('休展', 1), ('参见', 1), ('配套', 1), ('李湜', 1), ('紫禁城出版社', 1), ('堪称', 1), ('遗存', 1), ('相当', 1), ('使用', 1), ('超过', 1), ('“桐荫仕女”玉雕', 1), ('玉雕', 1), ('设置', 1), ('运用', 1), ('多媒体技术', 1), ('中国古代青铜器', 1), ('一斑窥豹', 1), ('了解', 1), ('总计', 1), ('乏', 1), ('辟', 1), ('镌刻', 1), ('尊重', 1), ('感谢', 1), ('配楼', 1), ('配', 1), ('故宫博物院古书画研究中心', 1), ('故宫博物院古陶瓷研究中心', 1), ('宁寿宫', 1), ('演戏', 1), ('装砌', 1), ('砌末', 1), ('帝后', 1), ('赏戏', 1), ('遴选', 1), ('名伶', 1), ('复原', 1), ('播放', 1), ('感受', 1), ('宫廷戏', 1), ('眼动', 1), ('动', 1), ('应用', 1), ('追踪', 1), ('结合', 1), ('识', 1), ('移动', 1), ('触发', 1), ('操作', 1), ('屏幕', 1), ('同步', 1), ('探索', 1), ('互动', 1), ('沉浸', 1), ('携手', 1), ('存储', 1), ('预期', 1), ('完成', 1), ('精修', 1), ('推动', 1), ('导览', 1), ('有所', 1), ('变', 1), ('遇到', 1), ('延长', 1), ('缩短', 1), ('请', 1), ('注意', 1), ('计划', 1), ('法定节假日', 1), ('要须', 1), ('出口', 1), ('结束', 1), ('离开', 1), ('严禁', 1), ('吸烟', 1), ('天安门东站', 1), ('景山公园', 1), ('东门站', 1), ('电车', 1), ('西华门', 1), ('提示', 1), ('没有', 1), ('专用', 1), ('景山后街', 1), ('北海', 1), ('建议', 1), ('搭乘', 1), ('公共交通', 1), ('变身', 1), ('「网', 1), ('想', 1), ('谈', 1), ('区别', 1), ('认为', 1), ('人类文明', 1), ('「卖', 1), ('卖萌', 1), ('萌」', 1), ('帮', 1), ('开', 1), ('支撑', 1), ('拍卖', 1), ('宫女', 1), ('唱', 1), ('贝勒', 1), ('扎堆', 1), ('后海', 1), ('称作', 1), ('佳山', 1), ('府邸', 1), ('修宅', 1), ('注重', 1), ('风水', 1), ('据说', 1), ('土龙', 1), ('紫檀', 1), ('紫檀家具', 1), ('携往', 1), ('香港', 1), ('辗转', 1), ('台湾', 1), ('颐和园', 1), ('穿过', 1), ('景山前街', 1)]","[('故宫', 3), ('康熙', 3), ('乾隆', 3), ('收藏', 3), ('玉器', 3), ('匏器', 2), ('清康熙匏制蒜头瓶', 1), ('宛若天成', 1), ('宛若', 1), ('衔接', 1), ('天衣无缝', 1), ('阴阳', 1), ('代表', 1), ('明', 1), ('遗存', 1), ('建立', 1), ('北京故宫博物院', 1), ('北京', 1), ('北京故宫', 1), ('相当', 1), ('使用', 1), ('制造', 1), ('超过', 1), ('设', 1), ('内廷', 1), ('东六宫', 1), ('钟粹宫', 1), ('展示', 1), ('陈列', 1), ('藏', 1), ('“桐荫仕女”玉雕', 1), ('玉雕', 1)]"
乾隆,"[('故宫', 3), ('康熙', 3), ('乾隆', 3), ('收藏', 3), ('玉器', 3), ('匏器', 2), ('清康熙匏制蒜头瓶', 1), ('宛若天成', 1), ('宛若', 1), ('衔接', 1), ('天衣无缝', 1), ('阴阳', 1), ('代表', 1), ('明', 1), ('遗存', 1), ('建立', 1), ('北京故宫博物院', 1), ('北京', 1), ('北京故宫', 1), ('相当', 1), ('使用', 1), ('制造', 1), ('超过', 1), ('设', 1), ('内廷', 1), ('东六宫', 1), ('钟粹宫', 1), ('展示', 1), ('陈列', 1), ('藏', 1), ('“桐荫仕女”玉雕', 1), ('玉雕', 1)]","[('乾隆', 89), ('和珅', 29), ('皇帝', 28), ('颐和园', 22), ('乾隆皇帝', 15), ('明', 13), ('嘉庆', 11), ('建', 9), ('始建', 9), ('清漪园', 9), ('清代', 7), ('北京', 7), ('光绪', 7), ('宅第', 6), ('文具', 5), ('皇后', 5), ('修', 5), ('改', 5), ('府邸', 5), ('嘉庆皇帝', 5), ('文物', 4), ('清朝', 4), ('居住', 4), ('永璘', 4), ('家具', 4), ('皇家园林', 4), ('西湖', 4), ('万寿山', 4), ('太上皇', 3), ('宫殿', 3), ('故宫', 3), ('康熙', 3), ('收藏', 3), ('玉器', 3), ('位于', 3), ('改建', 3), ('神乐', 3), ('珅', 3), ('大学士', 3), ('和孝公主', 3), ('庆王', 3), ('砖雕', 3), ('尚书', 3), ('京西', 3), ('排云殿', 3), ('慈禧', 3), ('重建', 3), ('皇宫', 2), ('院落', 2), ('宁寿宫', 2), ('太后', 2), ('匾额', 2), ('东晋', 2), ('王献之', 2), ('清', 2), ('视为', 2), ('三希堂', 2), ('王珣', 2), ('真迹', 2), ('掐丝珐琅', 2), ('珐琅', 2), ('旅行', 2), ('书画', 2), ('遗存', 2), ('开', 2), ('匏器', 2), ('代表', 2), ('藏文', 2), ('泥金', 2), ('制', 2), ('珍珠', 2), ('清二十五宝', 2), ('修建', 2), ('皇极殿', 2), ('乐寿堂', 2), ('永乐', 2), ('永乐十八年', 2), ('称', 2), ('圜', 2), ('圜丘', 2), ('琉璃', 2), ('汉白玉', 2), ('白玉', 2), ('斋戒', 2), ('西山', 2), ('权臣', 2), ('钤记', 2), ('私宅', 2), ('抄', 2), ('十公主', 2), ('酷肖', 2), ('骑马', 2), ('打猎', 2), ('爱', 2), ('认为', 2), ('变化', 2), ('庆王府', 2), ('下嫁', 2), ('生活', 2), ('都统', 2), ('挑补', 2), ('三等侍卫', 2), ('兼', 2), ('议政大臣', 2), ('议政', 2), ('御前大臣', 2), ('文华殿大学士', 2), ('文华殿', 2), ('驾崩', 2), ('建成', 2), ('内务府', 2), ('达', 2), ('北京城', 2), ('值得', 2), ('探寻', 2), ('令', 2), ('着迷', 2), ('玉泉山', 2), ('玉泉', 2), ('挖', 2), ('更名', 2), ('瓮山', 2), ('改名', 2), ('佛香阁', 2), ('建筑', 2), ('听鹂馆', 2), ('御道', 2), ('文化', 2), ('颐和园志', 2), ('兴建', 1), ('殿院', 1), ('落宁', 1), ('供', 1), ('太妃', 1), ('养老', 1), ('慈宁宫', 1), ('寿康宫', 1), ('寿安宫', 1), ('保和殿', 1), ('保和', 1), ('皇建', 1), ('皇建有极', 1), ('中秋帖', 1), ('保留', 1), ('伯远帖', 1), ('传世', 1), ('王羲之', 1), ('族', 1), ('国家文物局', 1), ('认定', 1), ('禁止出国（境）展览文物', 1), ('禁止', 1), ('出国', 1), ('展览', 1), ('碧玉光素大盘', 1), ('平定', 1), ('阿睦尔撒纳', 1), ('叛乱', 1), ('战利品', 1), ('具有', 1), ('花', 1), ('喇嘛塔', 1), ('保存', 1), ('梵华楼', 1), ('金发塔', 1), ('发塔', 1), ('供奉', 1), ('发丝', 1), ('敕造', 1), ('清制', 1), ('现存', 1), ('做工', 1), ('清乾隆旅行文具箱', 1), ('含', 1), ('多宝格', 1), ('盛放', 1), ('烛台', 1), ('绘图仪', 1), ('绘图', 1), ('双陆棋', 1), ('鼻烟壶', 1), ('三羊开泰', 1), ('泰山', 1), ('鸡式', 1), ('金星玻璃', 1), ('玻璃', 1), ('存世', 1), ('孤品', 1), ('清康熙匏制蒜头瓶', 1), ('宛若天成', 1), ('宛若', 1), ('衔接', 1), ('天衣无缝', 1), ('阴阳', 1), ('藏文大藏经', 1), ('甘珠尔', 1), ('内府', 1), ('写', 1), ('庆祝', 1), ('收', 1), ('共计', 1), ('撰写', 1), ('饰', 1), ('珊瑚珠', 1), ('珊瑚', 1), ('珠宝', 1), ('富丽堂皇', 1), ('设有', 1), ('无为', 1), ('存放', 1), ('御制', 1), ('交泰殿', 1), ('铜壶滴漏', 1), ('铜壶', 1), ('大自鸣钟', 1), ('自鸣钟', 1), ('建立', 1), ('北京故宫博物院', 1), ('北京故宫', 1), ('相当', 1), ('使用', 1), ('制造', 1), ('超过', 1), ('设', 1), ('内廷', 1), ('东六宫', 1), ('钟粹宫', 1), ('展示', 1), ('陈列', 1), ('藏', 1), ('“桐荫仕女”玉雕', 1), ('玉雕', 1), ('包含', 1), ('九龙壁', 1), ('乾隆花园', 1), ('珍妃井', 1), ('孝端皇后凤冠', 1), ('清黄玉佛手花插', 1), ('黄玉', 1), ('插', 1), ('存', 1), ('东庑', 1), ('清乾隆金嵌宝金瓯永固杯', 1), ('嵌', 1), ('金瓯永固杯', 1), ('瓯', 1), ('金嵌珍珠天球仪', 1), ('天球仪', 1), ('金编钟', 1), ('碧玉描金龙纹编磬', 1), ('描', 1), ('养性殿', 1), ('清大禹治水图玉山', 1), ('大禹治水图玉山', 1), ('大禹治水图', 1), ('治水', 1), ('水图', 1), ('图', 1), ('玉山', 1), ('青玉菊瓣式盆水仙盆景', 1), ('青玉', 1), ('菊瓣', 1), ('水仙', 1), ('盆景', 1), ('清金累丝嵌松石坛城', 1), ('累丝', 1), ('镶', 1), ('盖碗', 1), ('盖', 1), ('颐和轩', 1), ('天坛', 1), ('祈年殿', 1), ('增', 1), ('圜丘坛', 1), ('明朝', 1), ('圆坛', 1), ('扩建', 1), ('艾叶青', 1), ('无梁殿', 1), ('悬', 1), ('钦若', 1), ('昊天', 1), ('表达', 1), ('天子', 1), ('皇天上帝', 1), ('神乐观', 1), ('观名', 1), ('定名', 1), ('神乐署', 1), ('北京市', 1), ('占地', 1), ('私邸', 1), ('相中', 1), ('萦水', 1), ('遥接', 1), ('风水', 1), ('风水宝地', 1), ('购买', 1), ('造成', 1), ('大名鼎鼎', 1), ('后海', 1), ('嫁予', 1), ('当道', 1), ('凑', 1), ('商订', 1), ('办', 1), ('掉', 1), ('说', 1), ('豪宅', 1), ('赏', 1), ('第宅', 1), ('匾疑', 1), ('赐', 1), ('证实', 1), ('珅留', 1), ('嘉乐堂', 1), ('嘉乐堂诗集', 1), ('说明', 1), ('贪污罪', 1), ('处死', 1), ('赠', 1), ('额驸', 1), ('丰绅殷德', 1), ('住', 1), ('清朝历史', 1), ('陪', 1), ('父皇', 1), ('胜过', 1), ('止', 1), ('叹息', 1), ('阿哥', 1), ('非你莫属', 1), ('属', 1), ('柱础', 1), ('楠木', 1), ('装修', 1), ('墀头', 1), ('配', 1), ('正脊', 1), ('惯用', 1), ('可能', 1), ('公侯', 1), ('达官显贵', 1), ('一点半点', 1), ('固伦', 1), ('嫁', 1), ('传统习俗', 1), ('推测', 1), ('珅应', 1), ('保袭', 1), ('兼任', 1), ('福建', 1), ('承袭', 1), ('轻车都尉', 1), ('尉', 1), ('文生', 1), ('充当', 1), ('銮仪卫', 1), ('擢御', 1), ('御前侍卫', 1), ('侍卫', 1), ('值', 1), ('乾清宫', 1), ('乾清', 1), ('正蓝旗满洲', 1), ('副都统', 1), ('云南', 1), ('回', 1), ('擢', 1), ('户部尚书', 1), ('授御', 1), ('充', 1), ('四库全书', 1), ('总裁', 1), ('兼理', 1), ('理藩院尚书', 1), ('掌管', 1), ('钦差大臣', 1), ('督办', 1), ('镇压', 1), ('甘肃', 1), ('撒拉族', 1), ('起义', 1), ('升', 1), ('领侍卫内大臣', 1), ('领侍', 1), ('统领', 1), ('军机大臣', 1), ('成为', 1), ('倾', 1), ('爱新觉罗氏', 1), ('觉', 1), ('孝仪纯皇后', 1), ('生', 1), ('建宅', 1), ('去世', 1), ('天和', 1), ('列', 1), ('籍产', 1), ('降', 1), ('旨赐', 1), ('郡王', 1), ('金銮', 1), ('博物馆', 1), ('组织', 1), ('历经', 1), ('考证', 1), ('收购', 1), ('寻', 1), ('花梨木', 1), ('花梨', 1), ('酸枝木', 1), ('造办处', 1), ('处制', 1), ('拥有', 1), ('见证', 1), ('清王朝', 1), ('盛', 1), ('转衰', 1), ('素有', 1), ('知道', 1), ('考虑', 1), ('立', 1), ('继位', 1), ('孝敬', 1), ('孝', 1), ('动用', 1), ('白银', 1), ('形成', 1), ('清华园', 1), ('香山', 1), ('海淀', 1), ('增多', 1), ('万泉河', 1), ('发源', 1), ('流入', 1), ('明代', 1), ('通惠河', 1), ('筹备', 1), ('崇德', 1), ('皇太后', 1), ('孝圣宪皇后', 1), ('治理', 1), ('藉口', 1), ('下令', 1), ('拓', 1), ('拦截', 1), ('寿安山', 1), ('开挖', 1), ('保证', 1), ('提供', 1), ('灌溉', 1), ('汉武帝', 1), ('昆明池', 1), ('操练', 1), ('昆明湖', 1), ('筑於', 1), ('湖北', 1), ('耗银', 1), ('游览', 1), ('往返', 1), ('汉白玉石', 1), ('延寿寺', 1), ('接受', 1), ('朝拜', 1), ('比喻', 1), ('音乐', 1), ('取', 1), ('寸田', 1), ('谐趣园', 1), ('石坊', 1), ('题写', 1), ('知鱼桥', 1), ('知', 1), ('引用', 1), ('庄子', 1), ('惠子', 1), ('濠上', 1), ('争论', 1), ('咸丰', 1), ('毁', 1), ('宜芸馆', 1), ('陈设', 1), ('布置', 1), ('仁寿殿', 1), ('勤政殿', 1), ('皇家宫殿', 1), ('丹陛', 1), ('石雕', 1), ('雕刻', 1), ('刻', 1), ('二龙戏珠', 1), ('圆明园', 1), ('废墟', 1), ('安佑宫', 1), ('移', 1), ('石舫', 1), ('紫气东来城关', 1), ('宿云', 1), ('通', 1), ('文昌阁', 1), ('英法联军', 1), ('烧毁', 1), ('铸造', 1), ('称为', 1), ('搜', 1), ('商周', 1), ('唐', 1), ('宋', 1), ('元', 1), ('著录', 1), ('清廷', 1), ('设立', 1), ('建档', 1), ('管理', 1), ('世界文化遗产', 1), ('建园', 1), ('纪念', 1), ('大修', 1), ('颐和园建筑彩画艺术', 1), ('彩画', 1), ('颐和园文物菁华', 1), ('颐和园砖雕艺术', 1), ('颐和园导览', 1), ('颐和园文化研究', 1), ('研究', 1), ('明清家具', 1), ('颐和园趣闻', 1), ('颐和园古典园林夜景照明技术研究', 1), ('古典园林', 1), ('照明', 1), ('咏', 1), ('胡博', 1), ('油画', 1), ('修复', 1), ('仁和', 1)]"
