 ,中和殿,外朝
中和殿,"[('位于_v', 2), ('辅以_v', 1), ('统称_v', 1), ('办理_v', 1), ('举行_v', 1), ('殿明_v', 1), ('建成_v', 1), ('历经_v', 1), ('现存_v', 1), ('启_v', 1), ('重建_v', 1), ('改_v', 1), ('称_v', 1)]","[('辅以_v', 1), ('统称_v', 1), ('办理_v', 1), ('举行_v', 1)]"
外朝,"[('辅以_v', 1), ('统称_v', 1), ('办理_v', 1), ('举行_v', 1)]","[('位于_v', 5), ('设_v', 3), ('决定_v', 1), ('移_v', 1), ('成立_v', 1), ('陈列_v', 1), ('辅以_v', 1), ('统称_v', 1), ('办理_v', 1), ('举行_v', 1), ('始建_v', 1), ('朝武_v', 1), ('庑_v', 1), ('展示_v', 1), ('1#收藏_v', 1), ('收藏_v', 1), ('2#收藏_v', 1)]"
